XYDATA,BFII_nolipid-no_12-11-25-1,BFII_nolipid-no_12-11-25-2,BFII_nolipid-no_12-11-25-3,BFII_nolipid-no_12-11-25-4,BFII_nolipid-no_12-11-25-5,BFII_nolipid-no_12-11-25-6,BFII_nolipid-no_12-11-25-7,BFII_nolipid-no_12-11-25-8,BFII_nolipid-no_12-11-25-9,BFII_nolipid-no_12-11-25-10,BFII_nolipid-no_12-11-25-11
300.0000,85.2497,84.4129,83.2582,83.6642,83.2506,81.5894,81.4871,80.2335,80.4433,79.8132,79.53
300.5000,91.8976,90.8328,89.7844,90.1774,89.7657,88,87.7852,86.5002,86.7186,85.876,85.7239
301.0000,99.6324,98.2611,97.3226,97.7444,97.0806,95.2796,95.1408,93.7536,93.768,92.843,92.6688
301.5000,106.772,105.104,104.288,104.708,103.892,102.015,101.98,100.632,100.47,99.5729,99.0704
302.0000,116.902,115.21,114.289,114.609,113.766,111.831,111.742,110.126,109.666,108.747,108.33
302.5000,128.557,126.755,125.803,125.87,125.047,122.904,122.761,120.986,120.586,119.34,119.121
303.0000,139.784,138.007,137.004,137.018,136.102,133.714,133.531,131.424,130.988,129.844,129.493
303.5000,152.896,150.973,149.807,149.774,148.632,146.158,145.838,143.436,143.027,141.976,141.424
304.0000,165.243,163.395,162.093,162.071,160.835,158.408,157.561,155.279,154.464,153.523,153.134
304.5000,179.629,177.566,175.909,176.366,174.639,172.015,171.43,168.759,167.691,166.561,166.414
305.0000,196.057,194.15,192.261,192.674,190.889,187.396,187.275,184.227,182.867,181.842,181.373
305.5000,209.127,207.27,205.083,205.826,203.274,199.952,199.753,196.557,194.997,193.645,193.253
306.0000,227.294,225.598,223.104,223.533,221.112,217.372,216.806,213.558,211.634,210.427,209.636
306.5000,241.237,239.814,236.782,237.258,234.899,230.888,230.19,226.962,224.768,223.085,222.655
307.0000,261.324,259.777,256.406,256.574,253.961,249.305,248.826,245.163,242.971,241.185,240.583
307.5000,276.669,274.901,271.471,271.741,268.969,264.401,263.455,259.647,257.076,255.222,254.746
308.0000,298.055,296.087,293.09,293.12,289.794,285.023,284.03,279.901,277.088,274.574,274.461
308.5000,319.191,316.797,313.654,313.266,310.069,304.821,303.685,299.313,296.227,293.491,293.225
309.0000,338.632,336,333.165,332.454,329.205,323.566,322.217,317.527,314.17,311.511,311.013
309.5000,361.175,358.351,355.15,354.393,351.154,345.182,343.268,338.506,334.795,331.793,331.047
310.0000,382.187,379.541,375.98,375.289,371.409,365.309,363.191,357.747,354.261,350.818,350.051
310.5000,404.576,401.578,397.721,397.197,392.835,386.574,384.08,378.279,374.402,370.732,369.98
311.0000,429.493,426.515,422.312,422.122,417.001,410.268,407.729,401.678,397.565,393.421,392.838
311.5000,453.384,450.407,445.633,445.63,439.642,432.671,430.046,423.249,419.243,414.876,414.239
312.0000,480.095,477.487,471.736,472.154,465.816,457.714,455.257,447.748,443.806,439.105,438.761
312.5000,505.792,502.639,496.849,496.92,490.243,481.584,479.071,471.169,466.78,461.804,461.403
313.0000,534.357,530.7,524.56,524.932,517.015,508.253,505.867,497.651,492.933,487.475,487.145
313.5000,561.025,557.268,550.997,551.164,541.891,533.813,529.886,522.11,517.085,510.322,511.097
314.0000,591.787,586.592,580.649,581.068,570.663,562.136,557.385,550.003,544.657,536.694,538.241
314.5000,625.675,620.451,613.781,614.094,603.126,594.216,589.446,581.152,575.614,566.956,568.134
315.0000,651.505,645.566,639.382,639.505,628.227,618.478,613.825,605.065,598.998,589.87,591.119
315.5000,687.028,680.634,674.54,673.999,662.21,651.995,647.164,637.745,631.64,621.24,622.887
316.0000,714.292,707.805,701.148,699.989,688.048,677.253,672.323,662.249,656.306,645.525,646.932
316.5000,750.607,744.211,736.605,735.672,723.11,711.928,706.557,696.161,689.616,678.491,679.447
317.0000,785.057,778.043,770.645,769.366,756.147,744.672,738.594,728.019,720.245,709.019,709.947
317.5000,816.524,809.438,801.607,800.413,786.406,774.551,767.711,756.967,749.183,736.813,738.26
318.0000,848.704,841.272,833.266,832.236,817.001,805.276,797.408,786.508,778.259,765.794,766.974
318.5000,884.888,876.62,868.214,867.899,851.323,838.972,830.949,819.465,810.788,797.618,798.842
319.0000,917.979,909.406,900.458,900.299,883.507,870.116,861.491,850.089,841.021,827.457,828.544
319.5000,954.908,946.223,936.781,936.124,919.355,905.011,895.709,883.896,874.732,860.728,861.402
320.0000,989.43,980.426,969.744,969.115,952.961,937.148,927.189,915.174,905.991,891.398,892.09
320.5000,1027.11,1018.29,1006.45,1006.5,989.686,972.99,962.649,950.231,940.435,925.601,926.087
321.0000,1069.18,1059.64,1047.2,1047.28,1030,1012.44,1002.1,988.549,978.57,963.102,963.307
321.5000,1100.69,1091.88,1077.85,1078.68,1060.83,1042.52,1031.56,1017.52,1007.79,991.878,991.869
322.0000,1143.48,1133.88,1119.59,1120.21,1102.46,1083.09,1071.97,1057.36,1046.51,1030.07,1029.47
322.5000,1176.37,1166.25,1151.52,1152.01,1134.5,1114.3,1102.53,1087.42,1076.44,1059.78,1058.5
323.0000,1220.57,1209.16,1194.68,1195.08,1176.74,1156.63,1143.87,1127.97,1116.29,1099.1,1097.32
323.5000,1261.34,1248.93,1234.34,1234.58,1215.85,1195.28,1182.09,1165.29,1153.12,1135.84,1134
324.0000,1297.73,1285.14,1271.35,1270.78,1251.71,1230.26,1217.19,1199.37,1186.83,1169.24,1167.48
324.5000,1334.91,1322.28,1308.57,1307.09,1287.76,1265.39,1252.9,1233.52,1220.75,1202.7,1201.2
325.0000,1376.08,1363.11,1349.01,1347.71,1327.63,1304.53,1291.95,1271.62,1258.11,1240.08,1238.59
325.5000,1414.31,1400.69,1385.99,1384.88,1364.08,1339.74,1327.42,1306.44,1292.71,1274.4,1272.37
326.0000,1456.68,1442.31,1426.66,1425.51,1404.26,1379.27,1366.55,1344.9,1331.07,1312.21,1309.08
326.5000,1494.62,1480.14,1464.05,1462.3,1441.25,1414.73,1402.09,1378.57,1365.68,1346.78,1343.49
327.0000,1536.26,1521.98,1505.04,1503.16,1481.74,1454.44,1440.78,1417.1,1403.44,1383.76,1381.54
327.5000,1582.16,1567.08,1550.21,1547.99,1525.89,1497.38,1484.27,1459.6,1445.73,1424.91,1422.96
328.0000,1617.29,1601.2,1583.78,1581.22,1559.45,1529.93,1516.44,1491.88,1476.74,1456.03,1454.01
328.5000,1662.74,1646.16,1629.49,1625.85,1603.87,1572.77,1558.71,1534.08,1518.92,1496.7,1494.72
329.0000,1696.9,1679.81,1662.56,1658.91,1636.67,1605.24,1590.45,1565.01,1549.93,1527.29,1524.7
329.5000,1741.86,1724.05,1706.72,1702.61,1679.88,1648.16,1632.49,1606.97,1591.13,1568.1,1565.41
330.0000,1778.73,1760.45,1743.88,1739.2,1715.78,1684.32,1667.5,1641.44,1625.23,1601.8,1598.84
330.5000,1819.53,1801.02,1783.95,1778.79,1754.81,1722.67,1705.04,1679.06,1661.79,1639.2,1635.62
331.0000,1856.95,1837.79,1820.24,1814.97,1790.6,1757.98,1739.45,1712.2,1695.13,1671.84,1668.66
331.5000,1897.52,1877.51,1859,1854.05,1830.44,1796.43,1777.63,1749.26,1731.94,1709.21,1704.46
332.0000,1933.22,1914.15,1894.26,1888.76,1864.81,1830.68,1811.63,1782.64,1765.13,1741.97,1736.58
332.5000,1972.06,1953.21,1932.66,1926.07,1902.08,1868.15,1848.66,1818.93,1801.42,1777.94,1771.6
333.0000,2014.12,1995.14,1973.27,1967,1942.06,1908.49,1887.78,1857.68,1839.57,1816.72,1808.88
333.5000,2044.59,2024.98,2003.19,1997.37,1972.24,1937.46,1916.86,1886.24,1867.25,1845.7,1836.59
